id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
761035.013,13,43.396,395.305,534.001,43.219,395.121,532.746,38,50,392,399,501,560,1627,59,53,5.962,2.6346,-65.6405,5.2508,2.2985,-62.5879,427.0512,1.1457,6.5717,307.5611,0.1859,56.9419,42.0666,24.9843,49.3326,79.53802,12.677025,-361255.17,n,,,,
761035.016,16,133.575,349.11,511.793,133.719,349.14,511.535,126,138,346,353,496,529,736,33,45,5.6979,2.7851,-78.2622,5.4734,2.4151,-76.9561,191.1605,0.8652,3.3697,292.9271,0.2076,33.9492,26.2288,18.4552,28.7966,78.029688,11.910672,-376869.37,n,,,,
761035.017,17,30.556,394.853,527.721,30.067,394.633,525.591,27,35,391,400,496,557,1267,61,48,4.7426,3.1432,-58.1922,4.9039,2.3921,-52.4351,434.4511,1.3721,8.1455,312.9838,0.1886,64.7001,48.9627,29.6869,48.7271,79.757223,12.668883,-366522.31,n,,,,
761035.024,24,107.942,395.866,528.749,107.837,395.873,527.896,102,116,393,400,497,559,2084,62,67,7.0664,3.4441,88.2652,5.1357,2.9016,-83.7206,586.2871,1.166,17.1372,313.362,0.1897,67.7004,50.3156,38.435,42.5865,78.461055,12.689552,-364825.06,n,,,,
761035.028,28,297.626,370.077,787.652,297.675,370.244,787.119,292,303,364,378,766,807,2625,41,111,7.1216,5.0777,-17.9169,6.9824,4.5558,-14.5392,575.6254,0.8081,17.0709,132.6985,0.1843,60.9639,32.4381,24.0661,31.495,75.297079,12.262399,-174005.6,n,,,,
761035.041,41,41.079,343.132,545.28,41.137,342.874,545.032,39,44,340,348,524,566,711,42,27,4.0487,2.12,0.2881,3.4964,1.6991,-1.1262,254.2206,0.8924,9.7906,355.9979,0.1836,51.9298,33.9612,30.2472,30.9024,79.572719,11.806235,-352211.13,n,,,,
761035.042,42,285.141,341.458,524.737,285.005,341.649,525.422,283,289,337,347,503,545,1110,42,39,5.411,2.3066,24.5119,5.3636,1.9153,26.4939,332.9902,0.9785,8.4541,32.6247,0.1966,50.8332,37.382,25.7019,35.0675,75.508255,11.78582,-366646.26,n,,,,
761035.045,45,403.655,392.429,528.359,403.425,392.249,529.049,399,408,388,396,507,553,736,46,34,6.0031,1.9895,-52.3044,4.7545,1.8458,-50.5953,228.9409,0.909,7.5045,311.7605,0.1862,45.329,40.9168,33.4538,38.6444,73.534581,12.629157,-363976.56,n,,,,
761035.047,47,413.654,393.319,535.802,413.411,393.632,536.658,411,418,391,397,507,557,696,50,27,4.089,2.1063,54.9263,3.7738,1.9708,50.2949,217.1966,1.0173,6.3687,54.2587,0.1895,43.4489,36.773,24.4837,34.1768,73.368141,12.652197,-358375.62,n,,,,
761035.062,67,504.327,44.827,843.559,504.209,44.755,843.97,499,511,41,49,827,859,992,32,61,6.771,2.9582,-73.2315,6.7651,2.7218,-72.0996,257.6441,0.9033,13.6732,111.2602,0.1991,41.0837,27.4527,14.6113,20.2262,71.854844,6.8375747,-132155.96,n,,,,
